Address,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,Estimated neighbourhood price per m2,Price_Clean,Lot_Size,Living_Space,Build_Year,Total_Rooms,Bedrooms,Number_of_Floors
De Wildert 18,Berkel en Rodenrijs,€ 385.000,157 m²,109 m²,1964,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In woonwijk,Achtertuin en voortuin,1.950,385000.0,157,109,1964.0,5.0,4.0,3.0
Otellostraat 6,Spijkenisse,€ 325.000,106 m²,98 m²,1984,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,3.925,325000.0,106,98,1984.0,5.0,4.0,3.0
Ambrosiushof 47,Haarsteeg,€ 450.000,210 m²,126 m²,1997,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.255,450000.0,210,126,1997.0,5.0,4.0,3.0
Runde 40,Assen,€ 185.000,165 m²,70 m²,1962,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,D,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.455,185000.0,165,70,1962.0,4.0,3.0,2.0
Paukeslag 142,Etten-Leur,€ 275.000,166 m²,110 m²,1974,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,In woonwijk,Achtertuin en voortuin,565,275000.0,166,110,1974.0,5.0,3.0,2.0
Herfststraat 3,Amsterdam,€ 350.000,144 m²,75 m²,1964,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin,1.620,350000.0,144,75,1964.0,4.0,3.0,3.0
Sweelinckstraat 53,Numansdorp,€ 345.000,156 m²,115 m²,1977,Bestaande bouw,"Eengezinswoning, eindwoning",Zadeldak bedekt met bitumineuze dakbedekking,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,7.665,345000.0,156,115,1977.0,5.0,3.0,3.0
Asserpark 4,Wageningen,€ 315.000,142 m²,70 m²,1960,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,E,In woonwijk,Achtertuin en voortuin,2.975,315000.0,142,70,1960.0,4.0,3.0,2.0
Bouvigne 15,Den Bosch,€ 389.000,141 m²,121 m²,1979,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.385,389000.0,141,121,1979.0,4.0,3.0,3.0
Loenerveld 62,Nieuw-Vennep,€ 760.000,304 m²,149 m²,2001,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Plat dak bedekt met bitumineuze dakbedekking,7 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen en een vliering,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,9.015,760000.0,304,149,2001.0,7.0,5.0,2.0
Meers 5,Geldrop,€ 385.000,287 m²,123 m²,1961,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,F,"Aan rustige weg, beschutte ligging en in bosrijke omgeving","Achtertuin, voortuin en zijtuin",3.190,385000.0,287,123,1961.0,5.0,4.0,2.0
Overslaggronden 15,Kampen,€ 525.000,284 m²,175 m²,2004,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,A,"Aan rustige weg, in woonwijk, open ligging en vrij uitzicht",Achtertuin en voortuin,3.585,525000.0,284,175,2004.0,7.0,5.0,3.0
Bakemastraat 7,Amersfoort,€ 410.000,133 m²,116 m²,1990,Bestaande bouw,"Eengezinswoning, tussenwoning",Lessenaardak bedekt met bitumineuze dakbedekking,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zonneterras",1.690,410000.0,133,116,1990.0,6.0,5.0,3.0
Van Oldenbarneveltstraat 46,Nijkerk,€ 350.000,171 m²,118 m²,1972,Bestaande bouw,"Eengezinswoning, tussenwoning (hofjeswoning)",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Beschutte ligging en in woonwijk,Achtertuin en voortuin,1.615,350000.0,171,118,1972.0,5.0,4.0,3.0
Lookhof 1,Angeren,€ 399.000,280 m²,142 m²,1985,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In woonwijk,"Achtertuin, voortuin en zijtuin",2.275,399000.0,280,142,1985.0,4.0,2.0,3.0
Het Kasteel 216,Apeldoorn,€ 349.500,196 m²,119 m²,1995,Bestaande bouw,"Bungalow, hoekwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,A,"Aan rustige weg, aan water, in woonwijk en vrij uitzicht",Achtertuin en voortuin,6.095,349500.0,196,119,1995.0,5.0,3.0,2.0
Het Rinket 6,Meerstad,€ 575.000,368 m²,142 m²,2020,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Dwarskap bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",410,575000.0,368,142,2020.0,5.0,4.0,3.0
Spoorstraat 126,Leeuwarden,€ 225.000,139 m²,106 m²,1910,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,E,In woonwijk,Achtertuin en voortuin,2.420,225000.0,139,106,1910.0,4.0,3.0,2.0
Uiterdijkenweg 47 A,Marknesse,€ 329.500,2.370 m²,90 m²,1956,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,E,"Buiten bebouwde kom, landelijk gelegen, open ligging en vrij uitzicht","Achtertuin, voortuin en zijtuin",995,329500.0,2370,90,1956.0,4.0,3.0,2.0
Rijnsburgerweg 94,Leiden,€ 875.000,278 m²,223 m²,1910,Bestaande bouw,"Herenhuis, tussenwoning",Zadeldak bedekt met pannen,8 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen en een vliering,D,Beschutte ligging en in woonwijk,Achtertuin en voortuin,1.200,875000.0,278,223,1910.0,8.0,4.0,3.0
Sportlaan 31,Werkendam,€ 550.000,929 m²,159 m²,1969,Bestaande bouw,"Bungalow, vrijstaande woning (semi-bungalow)",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,D,Aan drukke weg en in woonwijk,Tuin rondom,1.530,550000.0,929,159,1969.0,4.0,3.0,2.0
Hertenkamp 21,Tholen,€ 525.000,572 m²,189 m²,1934,Bestaande bouw,"Villa, vrijstaande woning",Tentdak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,F,In woonwijk,"Achtertuin, tuin rondom, voortuin en zijtuin",7.710,525000.0,572,189,1934.0,6.0,5.0,2.0
Havikhorst 87,Roermond,€ 425.000,710 m²,144 m²,1988,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Dwarskap bedekt met pannen,7 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,B,"Aan rustige weg, beschutte ligging, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin",3.335,425000.0,710,144,1988.0,7.0,4.0,2.0
Schuurmanslaantje 6,Nieuwleusen,€ 565.000,789 m²,71 m²,Voor 1906,Bestaande bouw,"Woonboerderij, vrijstaande woning",Zadeldak bedekt met asbest en pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,G,"Aan rustige weg, in woonwijk en landelijk gelegen",Tuin rondom,745,565000.0,789,71,,5.0,3.0,2.0
Boerenhoek 87,Hoogvliet Rotterdam,€ 275.000,144 m²,99 m²,1979,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,B,In woonwijk,Achtertuin en voortuin,22.330,275000.0,144,99,1979.0,5.0,4.0,2.0
Veldkampje 1,Dalfsen,€ 490.000,715 m²,135 m²,1991,Bestaande bouw,"Bungalow, vrijstaande woning (semi-bungalow)",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een vliering,C,Aan rustige weg en in woonwijk,Tuin rondom,540,490000.0,715,135,1991.0,5.0,4.0,2.0
Leeuwerik 7,Bergambacht,€ 350.000,116 m²,92 m²,1984,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een vliering,C,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,3.270,350000.0,116,92,1984.0,4.0,3.0,3.0
Boomgaard 9,Schoonhoven,€ 500.000,128 m²,156 m²,1998,Bestaande bouw,"Eengezinswoning, geschakelde woning (kwadrant woning)",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,B,Aan rustige weg en in woonwijk,Voortuin,3.670,500000.0,128,156,1998.0,5.0,3.0,3.0
Bogerdweg 24,Dreischor,€ 389.000,680 m²,106 m²,1937,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,D,Aan rustige weg en beschutte ligging,Achtertuin,765,389000.0,680,106,1937.0,4.0,2.0,2.0
Rochtstraat 6,Sleen,€ 298.000,490 m²,124 m²,1964,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 2 aparte toiletten,3 woonlagen,C,"Aan rustige weg, beschutte ligging, in bosrijke omgeving en in woonwijk",Achtertuin en voortuin,2.120,298000.0,490,124,1964.0,5.0,4.0,3.0
Haarskamp 69,Ruurlo,€ 1.299.069,3.910 m²,391 m²,2002,Bestaande bouw,"Landhuis, vrijstaande woning",Samengesteld dak bedekt met pannen,8 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,"Aan rustige weg, open ligging en vrij uitzicht",Tuin rondom,270,1299069.0,3910,391,2002.0,8.0,5.0,2.0
Kastanjelaan 27,Lochem,€ 550.000,386 m²,199 m²,1903,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,8 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een kelder,F,Aan rustige weg en in woonwijk,Achtertuin,,550000.0,386,199,1903.0,8.0,4.0,3.0
Bladgroen 34,Zoetermeer,€ 350.000,124 m²,101 m²,1988,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een vliering,A,In woonwijk,Achtertuin en voortuin,12.510,350000.0,124,101,1988.0,5.0,4.0,3.0
Willem-Alexanderstraat 24,Duiven,€ 550.000,375 m²,161 m²,1989,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,B,In woonwijk,"Achtertuin, voortuin en zijtuin",865,550000.0,375,161,1989.0,6.0,5.0,3.0
Bosstraat 3,Swalmen,€ 325.000,310 m²,129 m²,1920,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Mansarde dak bedekt met pannen,10 kamers (3 slaapkamers),2 badkamers,"2 woonlagen, een zolder en een kelder",D,In woonwijk,Achtertuin en zijtuin,2.575,325000.0,310,129,1920.0,10.0,3.0,2.0
Hoofdstraat 25,Sint Jansteen,€ 389.500,379 m²,286 m²,1792,Bestaande bouw,"Herenhuis, halfvrijstaande woning",Samengesteld dak bedekt met leisteen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,"2 woonlagen, een zolder en een kelder",G,In centrum,,1.550,389500.0,379,286,1792.0,6.0,4.0,2.0
Olieslagweg 96,Enschede,€ 219.000,209 m²,85 m²,1960,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,E,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,4.230,219000.0,209,85,1960.0,4.0,3.0,3.0
Douwelaan 2 C,Oentsjerk,€ 395.000,297 m²,140 m²,2008,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,Aan rustige weg en in bosrijke omgeving,"Achtertuin, voortuin en zonneterras",1.885,395000.0,297,140,2008.0,4.0,3.0,2.0
Karrevracht 6,Uden,€ 539.000,311 m²,152 m²,1998,Bestaande bouw,"Eengezinswoning, geschakelde woning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.900,539000.0,311,152,1998.0,5.0,4.0,3.0
Valeriusstraat 50,Almelo,€ 242.500,152 m²,122 m²,1967,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,7 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In woonwijk,Achtertuin en voortuin,955,242500.0,152,122,1967.0,7.0,4.0,3.0
Rederijkershoeve 115,Apeldoorn,€ 399.000,248 m²,113 m²,1982,Bestaande bouw,"Eengezinswoning, hoekwoning",Dwarskap bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.715,399000.0,248,113,1982.0,5.0,4.0,3.0
Parkwijklaan 205,Almere,€ 450.000,154 m²,131 m²,1997,Bestaande bouw,"Eengezinswoning, tussenwoning",Lessenaardak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,5.615,450000.0,154,131,1997.0,4.0,3.0,2.0
Weegbree 27,Gendringen,€ 275.000,200 m²,135 m²,1981,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een zolder,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,3.725,275000.0,200,135,1981.0,5.0,4.0,2.0
Max Havelaarburg 19,Capelle aan den IJssel,€ 450.000,142 m²,128 m²,1982,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer,3 woonlagen,A,"Aan park, aan water, beschutte ligging en in woonwijk",Achtertuin en voortuin,1.450,450000.0,142,128,1982.0,5.0,4.0,3.0
Ridder van Asenrodeweg 53,Roermond,€ 250.000,230 m²,112 m²,1969,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,D,Aan rustige weg en in woonwijk,Achtertuin en voortuin,765,250000.0,230,112,1969.0,5.0,3.0,2.0
De Nieuwesluis 15 b,Zwartsluis,€ 360.000,142 m²,104 m²,1996,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,B,"Aan vaarwater, aan water en in woonwijk",Achtertuin,805,360000.0,142,104,1996.0,3.0,2.0,2.0
Doornseweg 18,Langbroek,€ 397.500,195 m²,102 m²,1875,Bestaande bouw,"Eengezinswoning, tussenwoning",Mansarde dak bedekt met bitumineuze dakbedekking en pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,Open ligging en vrij uitzicht,Achtertuin,1.710,397500.0,195,102,1875.0,3.0,2.0,2.0
Schans 4,Oost-Souburg,€ 685.000,523 m²,170 m²,2000,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Samengesteld dak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,In woonwijk,Tuin rondom,2.160,685000.0,523,170,2000.0,5.0,4.0,2.0
Elzenlaan 4,Dordrecht,€ 365.000,155 m²,121 m²,1962,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In woonwijk,Achtertuin en voortuin,5.090,365000.0,155,121,1962.0,6.0,5.0,3.0
Willem de Zwijgerstraat 6,Nijverdal,€ 269.500,203 m²,65 m²,1926,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Schilddak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer,2 woonlagen en een zolder,G,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.225,269500.0,203,65,1926.0,4.0,3.0,2.0
Pimpernelstraat 13,Utrecht,€ 450.000,115 m²,118 m²,2001,Bestaande bouw,"Eengezinswoning, eindwoning",Plat dak,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A,"Aan rustige weg, in woonwijk en vrij uitzicht",Patio/atrium en zonneterras,3.800,450000.0,115,118,2001.0,4.0,3.0,2.0
Margrietstraat 13,Wijchen,€ 300.000,212 m²,95 m²,1957,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,In woonwijk,Achtertuin en voortuin,860,300000.0,212,95,1957.0,5.0,3.0,3.0
Alexandriet 4,Mijdrecht,€ 389.000,115 m²,89 m²,1988,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In woonwijk,Achtertuin en voortuin,3.575,389000.0,115,89,1988.0,4.0,3.0,3.0
Einsteinlaan 7,Pijnacker,€ 500.000,201 m²,121 m²,1969,Bestaande bouw,"Eengezinswoning, geschakelde woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin,4.010,500000.0,201,121,1969.0,5.0,4.0,3.0
Kerkstraat 25,Berghem,€ 297.500,190 m²,104 m²,1952,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In centrum en in woonwijk,Achtertuin en voortuin,4.285,297500.0,190,104,1952.0,5.0,3.0,3.0
Anna Johanna van Nassaustraat 7,Vianen (UT),€ 525.000,225 m²,171 m²,1992,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,€ 3.817,525000.0,225,171,1992.0,4.0,3.0,3.0
IJsselkade 24,IJsselstein,€ 385.000,103 m²,108 m²,1991,Bestaande bouw,"Eengezinswoning, tussenwoning (drive-in woning)",Samengesteld dak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, aan vaarwater, aan water en in centrum",Achtertuin,1.080,385000.0,103,108,1991.0,4.0,3.0,3.0
Wethouder Steinmetzstraat 37,Amsterdam,€ 425.000,132 m²,89 m²,1985,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak,4 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen,B,"Aan rustige weg, aan water, beschutte ligging en in woonwijk",Achtertuin en voortuin,11.330,425000.0,132,89,1985.0,4.0,3.0,2.0
Brouwersdam 21,Hoofddorp,€ 1.295.000,740 m²,370 m²,2004,Bestaande bouw,"Villa, vrijstaande woning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,7 kamers (5 slaapkamers),3 badkamers en 1 apart toilet,2 woonlagen en een kelder,A,In woonwijk,Tuin rondom,10.415,1295000.0,740,370,2004.0,7.0,5.0,2.0
Voorstraat 6,Blije,€ 169.500,178 m²,145 m²,1900,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,G,"Aan rustige weg, beschutte ligging en in centrum",Plaats,630,169500.0,178,145,1900.0,5.0,4.0,1.0
Auroralaan 50,Apeldoorn,€ 425.000,445 m²,106 m²,1931,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,E,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",3.800,425000.0,445,106,1931.0,5.0,3.0,3.0
Izak Osstraat 27,Zwolle,€ 525.000,324 m²,142 m²,1990,Bestaande bouw,"Eengezinswoning, geschakelde woning",Plat dak,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,B,"Aan rustige weg, aan water en in woonwijk",Achtertuin en voortuin,1.435,525000.0,324,142,1990.0,4.0,3.0,2.0
Landpaal 3,Huissen,€ 310.000,141 m²,93 m²,1977,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,B,"Aan park, aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,5.940,310000.0,141,93,1977.0,3.0,2.0,2.0
Voirt 74,Nuenen,€ 599.000,431 m²,160 m²,1960,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In centrum en in woonwijk,Achtertuin en voortuin,5.500,599000.0,431,160,1960.0,5.0,4.0,3.0
Willem Berkhemerstraat 1,Wageningen,€ 465.000,160 m²,124 m²,2011,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A++,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.875,465000.0,160,124,2011.0,5.0,4.0,3.0
Markstraat 7,Dordrecht,€ 300.000,127 m²,119 m²,1934,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In woonwijk,Achtertuin en voortuin,730,300000.0,127,119,1934.0,4.0,3.0,3.0
Broekweg 17,Horst,€ 549.000,498 m²,179 m²,1990,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg,"Achtertuin, voortuin en zijtuin",675,549000.0,498,179,1990.0,7.0,5.0,3.0
Sternweg 2,Groet,€ 449.000,271 m²,101 m²,1989,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A,"Aan rustige weg, beschutte ligging, in bosrijke omgeving, in centrum en in woonwijk",Achtertuin en voortuin,,449000.0,271,101,1989.0,4.0,3.0,2.0
Willem Claijstraat 15,Berkhout,€ 339.000,219 m²,84 m²,1967,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,C,In woonwijk,"Achtertuin, voortuin en zijtuin",690,339000.0,219,84,1967.0,5.0,4.0,3.0
Minoes erf 79,Capelle aan den IJssel,€ 325.000,159 m²,91 m²,1980,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,2.165,325000.0,159,91,1980.0,4.0,3.0,2.0
Herenstraat 69,Slagharen,€ 550.000,1.313 m²,203 m²,1940,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen,A,Aan bosrand en in centrum,Achtertuin en voortuin,2.455,550000.0,1313,203,1940.0,6.0,4.0,2.0
Brasemlaan 4,Helmond,€ 345.000,144 m²,113 m²,1973,Bestaande bouw,"Eengezinswoning, tussenwoning (split-level woning)",Lessenaardak bedekt met bitumineuze dakbedekking,6 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,4 woonlagen en een kelder,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,3.590,345000.0,144,113,1973.0,6.0,3.0,4.0
Vogelbos 33,Prinsenbeek,€ 685.000,368 m²,147 m²,1977,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,11.035,685000.0,368,147,1977.0,5.0,4.0,3.0
Hoofdspoor 6,Assendelft,€ 385.000,94 m²,91 m²,2010,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,In woonwijk,Achtertuin,9.455,385000.0,94,91,2010.0,5.0,3.0,2.0
Zwolseweg 69,Balkbrug,€ 275.000,404 m²,117 m²,1960,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Samengesteld dak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,D,"Aan bosrand, aan drukke weg en in bosrijke omgeving",Achtertuin en voortuin,545,275000.0,404,117,1960.0,4.0,3.0,2.0
