Address,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,Estimated neighbourhood price per m2,Price_Clean,Lot_Size,Living_Space,Build_Year,Total_Rooms,Bedrooms,Number_of_Floors
Karstraat 8,Huissen,€ 725.000,641 m²,231 m²,1905,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een vliering,F,Aan drukke weg en beschutte ligging,"Achtertuin, voortuin en zijtuin",1.840,725000.0,641,231,1905.0,7.0,5.0,2.0
Warmoltsstrjitte 72,Harkema,€ 375.000,475 m²,143 m²,1955,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,8 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,C,"Aan rustige weg, in centrum en in woonwijk","Achtertuin, tuin rondom, voortuin en zijtuin",4.025,375000.0,475,143,1955.0,8.0,5.0,2.0
Leemslagenweg 39,Almelo,€ 499.000,550 m²,172 m²,1981,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Tuin rondom,985,499000.0,550,172,1981.0,5.0,3.0,3.0
Paardenstraat 28,Hilvarenbeek,€ 825.000,471 m²,190 m²,1989,Bestaande bouw,"Bungalow, geschakelde woning (semi-bungalow)",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een vliering,B,In centrum,Achtertuin en voortuin,8.005,825000.0,471,190,1989.0,5.0,3.0,2.0
Berggrind 8,Rheden,€ 575.000,253 m²,136 m²,2013,Bestaande bouw,"Eengezinswoning, geschakelde woning",Zadeldak bedekt met pannen,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,A,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",7.380,575000.0,253,136,2013.0,2.0,1.0,2.0
Molenpad 3,Escharen,€ 445.000,710 m²,103 m²,1965,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,F,Aan rustige weg en landelijk gelegen,"Achtertuin, voortuin en zijtuin",770,445000.0,710,103,1965.0,5.0,3.0,2.0
Prinsenstraat 29,Vlissingen,€ 349.000,61 m²,114 m²,1901,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),2 badkamers,3 woonlagen,D,"Aan vaarwater, aan water, in centrum en zeezicht",Achtertuin,3.860,349000.0,61,114,1901.0,5.0,3.0,3.0
Burgemeester Heeremanstraat 5,Neede,€ 255.000,211 m²,99 m²,2001,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Samengesteld dak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.050,255000.0,211,99,2001.0,4.0,3.0,2.0
Vincent van Goghlaan 39,Oosterhout (NB),€ 650.000,913 m²,133 m²,1987,Bestaande bouw,"Bungalow, vrijstaande woning",Lessenaardak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,C,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin,2.510,650000.0,913,133,1987.0,4.0,3.0,1.0
van der Maelstedeweg 22,Hulst,€ 308.000,198 m²,96 m²,1976,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,Aan drukke weg en vrij uitzicht,Achtertuin en voortuin,1.370,308000.0,198,96,1976.0,4.0,3.0,3.0
Rijksstraatweg 311,Leersum,€ 400.000,185 m²,88 m²,1982,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan bosrand, in bosrijke omgeving, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin",,400000.0,185,88,1982.0,3.0,2.0,3.0
Voorstraat 68,Franeker,€ 475.000,224 m²,215 m²,1600,Bestaande bouw,"Herenhuis, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een zolder,Niet verplicht,In centrum en vrij uitzicht,Achtertuin,1.380,475000.0,224,215,1600.0,6.0,3.0,2.0
